cow,vol_udder,vol_lf,vol_rf,vol_lb,vol_rb,sarea_udder,sarea_lf,sarea_rf,sarea_lb,sarea_rb,angle_lf,angle_rf,angle_lb,angle_rb,eu_front,eu_back,eu_right,eu_left,gd_front,gd_back,gd_right,gd_left,peri_udder,area_udder,circ_udder,exc_udder,peri_lf,area_lf,circ_lf,exc_lf,peri_rf,area_rf,circ_rf,exc_rf,peri_lb,area_lb,circ_lb,exc_lb,peri_rb,area_rb,circ_rb,exc_rb,len_lf,len_rf,len_lb,len_rb,animal_number,min_date,max_date,count_date,min_dim,max_dim,milk_flow_duration_mean,yield_visit_mean,yield_lf_visit_mean,yield_lr_visit_mean,yield_rr_visit_mean,yield_rf_visit_mean,peak_flow_rf_mean,peak_flow_lf_mean,peak_flow_rr_mean,peak_flow_lr_mean,notmilk_visit_duration_mean,interval_sec_mean,kickoff_lf_sum,kickoff_lr_sum,kickoff_rf_sum,kickoff_rr_sum,kickoff_front_sum,kickoff_back_sum,kickoff_any_sum,total_yield,total_visits,kickoff_lf_perc,kickoff_lr_perc,kickoff_rf_perc,kickoff_rr_perc,kickoff_front_perc,kickoff_back_perc,kickoff_any_perc,yield_lf_visit_sum,yield_lr_visit_sum,yield_rr_visit_sum,yield_rf_visit_sum,interval_visit_mean
627,6.742235279216353,2.08510631166118,2.320265345254639,0.6552868320050121,0.9071178414489716,2202.840956612092,676.5268689653107,710.6061570859031,388.7589496912815,340.6577636652304,66.83916977636083,69.69776376738564,109.82279331742872,112.82530537968368,21.157402313683235,7.202212202694377,25.65268627278495,25.37141512442472,30.321760860050155,16.136207370738035,24.223363067354747,25.251423838625985,,,,0.6132253913126017,838.3401871576773,39443.0,0.7069086894489103,0.7338506011428516,795.0264786586926,,0.7438961771332805,0.7179313689693566,614.5168106668145,,0.7158664939286011,0.5964904116659957,,,0.7487965546295807,0.5410328310509864,37.9912880217919,41.33752857926118,42.07860192883262,36.35894193696292,627,2023-08-17,2023-11-17,94,0.0,92.0,244.5040322580645,19.376451612903224,3.7845564516129033,5.40133064516129,5.924314516129033,4.26625,2.429274193548387,2.236935483870968,2.6366129032258065,2.398306451612903,96.625,31303.342741935485,0,0,0,0,0,0,0,4841.9,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,948.77,1347.54,1480.53,1065.06,31442.34
723,5.866113739301144,3.1890805444924606,1.988038194899747,0.497105140353376,0.5656731096536407,1557.547076751207,620.0122917343565,569.9620400835297,259.22454206675616,183.28607865843648,66.37744864135709,64.32988102239268,95.4970562667968,104.29659590221728,18.25296692989638,8.338149488361504,23.470440778754064,24.9587839004586,29.622597765369992,10.958275286794978,22.155553429444677,27.626364307625508,1074.427019615831,66083.5,,0.7297975116413035,694.144227664784,24970.0,0.6808298211705464,0.7014000413167044,554.9015869776648,18898.5,0.7656862490909611,0.6517313406883942,510.6614716074872,13094.0,0.6179449871674867,0.8336812562441964,451.7558800164656,8010.0,0.4950038873088869,0.8490110553600645,46.12646842271553,47.95609353894011,32.71643131669937,,723,2023-10-13,2023-11-17,35,0.0,35.0,228.4125,15.70825,4.248125,4.531750000000001,3.52725,3.4011250000000004,1.89675,2.25375,2.166,2.29275,95.5875,35950.5,0,0,0,0,0,0,0,1279.05,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,369.72,287.01,276.32,36978.04878048781
729,,5.068294819683003,4.355239911327447,0.7862205369564672,0.8917709889907725,,,998.0564467304476,255.7104930395109,319.3654715454892,73.21352648793774,,104.0898511968836,87.45785508074692,11.203797684211056,6.701473465086672,,,27.67296232023104,15.052288019482525,,30.86804873593308,1238.953931550412,92519.0,0.7564472487338145,0.5485303894984166,842.4934700697015,39758.0,0.7043091459593451,0.7955050951595994,706.6173157302028,30139.0,0.759036053733743,0.7716935718759709,423.52186130069776,10440.5,0.736707894566103,0.6673429390977006,461.7914139223983,11395.5,0.6704604331176937,0.5720975758748678,,60.75767733413044,48.85914444282572,37.34396331886726,729,2023-05-31,2024-06-14,386,0.0,380.0,412.6422857142857,22.58470857142857,5.383737142857143,5.155028571428571,5.5925714285714285,6.453371428571429,1.6917257142857145,1.5072,1.6426971428571426,1.5077485714285714,108.70628571428573,36239.78057142857,6,14,1,9,7,21,21,20004.29,896,0.6696428571428571,1.5625,0.1116071428571428,1.0044642857142858,0.78125,2.34375,2.34375,4776.2,4548.33,4953.81,5725.95,36087.228794642855
736,8.529069151065816,5.03436496964969,1.6843147942303451,1.29873520811137,0.6768562425063283,2190.923732283639,1036.3295233890185,415.8562929743927,525.5301346354646,338.0782652352972,75.62143413242768,,82.36585814239434,107.55749043503106,7.646200802459988,5.309199591043318,20.31687772173973,23.34899765394938,,13.655454720861597,24.46275676718084,26.5112982593059,,,0.7748559741821262,0.6720688103209851,,,0.6451354442711026,0.5979462175024195,611.8305191657993,19594.0,0.6577648998837516,0.8496230280600116,,,0.6244171661566827,0.4014668483593896,506.30360723121805,13589.0,0.6661550422297304,0.7019224717265035,,,51.872414640929485,49.51513503422193,736,2023-03-09,2024-01-24,331,0.0,321.0,402.3324873096447,16.62739847715736,3.168426395939086,4.675939086294416,5.121205583756345,3.6618274111675126,1.215761421319797,1.0776395939086294,1.2705837563451776,1.2482741116751268,94.57106598984772,34134.47461928934,4,7,3,4,7,11,14,13230.75,801,0.4993757802746567,0.8739076154806492,0.3745318352059925,0.4993757802746567,0.8739076154806492,1.373283395755306,1.7478152309612984,2524.63,3707.99,4089.27,2908.86,34144.24968789014
764,6.316109322081853,1.7885401110468158,2.2410999024513547,0.7526631747386819,0.685145842834421,,825.0745674242472,901.3991458617088,567.4141391963512,496.7090248361201,63.76283121378545,71.5544273759786,113.66417151735553,109.3503576801678,19.35014288310948,8.04084158318124,18.95928541073646,19.18417712880961,34.36316546895329,19.62834072978254,26.75191793544685,26.839284296839043,1215.3250352560271,81266.0,,0.5518177359951618,676.1808075912433,27128.0,0.7512367943131197,0.7188602326332174,777.3107499061545,31011.0,0.6445284504473762,0.7189633174612244,508.1147904132612,12789.0,0.5970888638597346,0.6282878524065507,470.70057685088807,9399.0,0.6310383034807738,0.7405721667864789,43.87571564762485,44.013406186447526,37.06692210895625,37.68155934105507,764,2023-06-06,2024-03-21,293,0.0,289.0,353.47777777777776,16.88301388888889,5.174958333333333,5.643083333333333,1.4248194444444442,4.640152777777778,1.6041666666666667,1.7285833333333331,0.97925,1.5620833333333335,96.85555555555555,33676.44583333333,5,3,3,1,8,4,7,12333.85,733,0.6821282401091405,0.4092769440654843,0.4092769440654843,0.1364256480218281,1.0914051841746248,0.5457025920873124,0.9549795361527968,3760.88,4127.59,1047.17,3398.21,33631.32878581173
778,7.435423584924918,,3.614294372543637,0.7097279923415352,,2315.90990269921,,926.517180022672,262.656756463319,484.39657260997,,63.606175264006616,109.19022397663754,100.2605742617979,17.16426513790581,7.016351032964699,23.443658436564643,18.47424115891944,30.20553988331133,17.245280011955245,26.87008658924696,22.689413902748843,1204.1879502661795,88234.0,0.7680205170631885,0.5767540589850267,,,,,827.6955262170047,27859.0,0.5236701260026545,0.5771193156678623,476.3269478283311,12139.0,0.6902764528692503,0.680045653905601,,,0.7180281752526464,,,51.08553979459057,37.501897332969165,48.711823096977646,778,2023-09-24,2023-11-17,55,0.0,54.0,304.13375796178343,11.90375796178344,,4.984140127388535,3.700891719745223,3.218726114649681,1.7281528662420382,,1.2668789808917198,2.025095541401274,81.85350318471338,28076.22929936305,0,0,2,0,2,0,2,1913.84,163,0.0,0.0,1.2269938650306749,0.0,1.2269938650306749,0.0,1.2269938650306749,0.0,806.19,597.99,509.66,28509.0736196319
785,10.780987395718295,3.415769017547293,,0.9774858183719342,,2297.708316845874,749.1467344760651,962.37811785993,326.2551790712155,415.2572624986611,88.90761061230516,73.86187045380282,86.84997567538588,110.33876311435748,14.160583644435944,9.506399305856643,22.305628383626555,22.341626887743224,25.833499893155093,17.705230949349286,24.405169567894927,24.517338007256328,1250.427019615831,,0.8029326104261821,0.6662108815548418,689.7305371126743,26788.5,0.7075608367625341,0.7994861531505192,,,0.6005395678953093,0.6794266488720144,518.6792385604535,12745.0,0.5951705243831086,0.7151364480992921,556.3624817342638,,0.773975804949009,0.4452540616082026,52.17495919187128,28.68892424232809,,46.132609236192096,785,2023-10-12,2023-11-17,38,0.0,36.0,304.6106194690266,13.96221238938053,3.133628318584071,3.5634513274336284,3.626371681415929,3.638761061946903,1.3858407079646018,1.291858407079646,1.553628318584071,1.3794690265486724,94.68141592920354,27255.610619469026,0,0,0,1,0,1,1,1577.73,113,0.0,0.0,0.0,0.8849557522123894,0.0,0.8849557522123894,0.8849557522123894,354.1,402.67,409.78,411.18,27255.610619469026
808,7.242970408004401,1.4475014862533775,3.0907106972748,0.9230036988973276,,2212.334897742524,410.46794474762106,861.8199783837933,384.06611330929127,575.7604412388857,74.02917523451511,69.32670835435172,102.9820989461288,113.20777619019528,,11.913791072034014,26.99567245679224,27.70735244320492,,21.85859188198432,26.853497921512265,24.807867094284813,,93227.0,,0.6578208929671615,679.7239174480011,17651.0,0.5005287802459037,0.7611586044106956,757.4406922210657,,0.7872432636876232,0.6083965136274264,588.309703885628,17003.0,0.613058460556231,0.7519851481051018,,,0.6876824410901615,0.4418282599332984,28.89559658097081,50.73415967519728,41.79782534733376,42.10772880625591,808,2023-10-19,2023-11-17,30,0.0,29.0,272.56310679611653,14.296504854368932,3.0635922330097087,4.616407766990291,4.415825242718446,2.200679611650485,1.1388349514563108,1.4557281553398058,1.774368932038835,1.887378640776699,100.83495145631068,23954.961165048546,0,0,0,0,0,0,0,1472.54,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.55,475.49,454.83,226.67,23954.961165048546
837,6.873320523250293,1.0307375644084014,,0.5730137977664274,0.9206898011482372,1884.50930247094,211.4059979778244,,265.8355919918391,402.8295183133992,,,71.15426285518375,80.16669211989988,13.354007916566024,11.42719813715652,24.074682708270284,8.980102200819983,,16.06035355445334,23.010139912863952,,1236.129075763134,88942.0,,,493.56349186104046,10975.0,0.5390266948262872,0.8599985014390917,,,,,457.1553749530772,11818.0,0.7083629081491796,0.6956179081438564,567.5990257669732,,0.7435379315434882,0.4400731562761677,,,41.07023851125552,40.634171524737575,837,2023-03-08,2023-11-17,260,0.0,254.0,292.9436416184971,17.562427745664742,6.153945086705202,4.9080202312138725,6.500462427745664,,,2.296040462427745,2.296387283236994,1.777456647398844,77.80780346820809,31247.88294797688,0,1,0,0,0,1,1,12173.75,695,0.0,0.1438848920863309,0.0,0.0,0.0,0.1438848920863309,0.1438848920863309,4260.45,3404.89,4508.41,0.0,31257.81582733813
856,11.23319497170679,3.6744881329354286,,0.6128348021055787,0.9278605362711588,2058.2220384124707,703.3954193996293,919.53877344236,206.5494080704725,312.64214394411647,81.37025025269081,64.3718960306839,100.67269718275728,112.89080235041904,19.08161640671914,7.592793380395634,25.90735866237601,22.94154872115852,31.308422615121607,18.190442060972583,26.71557214493393,23.58132647874224,1092.9919907732865,75569.0,0.7931714269557739,,661.9076836320746,25149.0,0.7158229688702291,0.7800222814561321,808.842712474619,33422.0,0.635926232361314,0.6876688050738246,355.1787155501902,6785.0,0.6797324542852834,0.6255082258678285,402.3208511739212,9970.0,0.7442654340665867,0.4565456559514911,40.518919694209735,49.80289146398727,41.11284649087455,45.05121911865516,856,2023-07-20,2024-07-05,357,0.0,351.0,292.5264227642276,16.443810975609754,3.951686991869919,5.405447154471545,3.332794715447154,3.753882113821138,1.8476829268292685,1.8531707317073167,1.7546747967479674,2.060060975609756,93.44918699186992,29491.181910569107,2,19,4,11,5,27,29,16472.78,1024,0.1953125,1.85546875,0.390625,1.07421875,0.48828125,2.63671875,2.83203125,3983.51,5379.29,3335.86,3774.12,29242.572265625
